Year,Holiday Name,Date
2013,New Year's Day,2013-01-01
2013,Good Friday,2013-03-29
2013,Easter Monday,2013-04-01
2013,Labor Day,2013-05-01
2013,Ascension Day,2013-05-09
2013,Whit Monday,2013-05-20
2013,Day of German Unity,2013-10-03
2013,Christmas Day,2013-12-25
2013,Boxing Day,2013-12-26
2014,New Year's Day,2014-01-01
2014,Good Friday,2014-04-18
2014,Easter Monday,2014-04-21
2014,Labor Day,2014-05-01
2014,Ascension Day,2014-05-29
2014,Whit Monday,2014-06-09
2014,Day of German Unity,2014-10-03
2014,Christmas Day,2014-12-25
2014,Boxing Day,2014-12-26
2015,New Year's Day,2015-01-01
2015,Good Friday,2015-04-03
2015,Easter Monday,2015-04-06
2015,Labor Day,2015-05-01
2015,Ascension Day,2015-05-14
2015,Whit Monday,2015-05-25
2015,Day of German Unity,2015-10-03
2015,Christmas Day,2015-12-25
2015,Boxing Day,2015-12-26
2016,New Year's Day,2016-01-01
2016,Good Friday,2016-03-25
2016,Easter Monday,2016-03-28
2016,Labor Day,2016-05-01
2016,Ascension Day,2016-05-05
2016,Whit Monday,2016-05-16
2016,Day of German Unity,2016-10-03
2016,Christmas Day,2016-12-25
2016,Boxing Day,2016-12-26
2017,New Year's Day,2017-01-01
2017,Good Friday,2017-04-14
2017,Easter Monday,2017-04-17
2017,Labor Day,2017-05-01
2017,Ascension Day,2017-05-25
2017,Whit Monday,2017-06-05
2017,Day of German Unity,2017-10-03
2017,Reformation Day (500th Anniv.),2017-10-31
2017,Christmas Day,2017-12-25
2017,Boxing Day,2017-12-26
2018,New Year's Day,2018-01-01
2018,Good Friday,2018-03-30
2018,Easter Monday,2018-04-02
2018,Labor Day,2018-05-01
2018,Ascension Day,2018-05-10
2018,Whit Monday,2018-05-21
2018,Day of German Unity,2018-10-03
2018,Reformation Day,2018-10-31
2018,Christmas Day,2018-12-25
2018,Boxing Day,2018-12-26
2019,New Year's Day,2019-01-01
2019,Good Friday,2019-04-19
2019,Easter Monday,2019-04-22
2019,Labor Day,2019-05-01
2019,Ascension Day,2019-05-30
2019,Whit Monday,2019-06-10
2019,Day of German Unity,2019-10-03
2019,Reformation Day,2019-10-31
2019,Christmas Day,2019-12-25
2019,Boxing Day,2019-12-26
